,periods_fast,periods_slow,end_value,return_ave,max_draw_downs,win_trades,loss_trades,total_trades,win_ratio,ave_win_value,ave_loss_value,ave_win_loss_ratio,return_rank,max_draw_downs_rank,win_ratio_rank,ave_win_loss_ratio_rank,rank
137,15,43,8989,-0.0011658887978956297,33.96097163457794,10,22,32,0.3125,438.74090359210106,-245.42102298189232,-1.7877070931469154,80.0,360.0,171.0,372.0,245.75
72,18,21,11281,0.0010863492407180175,18.51323832276124,31,55,86,0.36046511627906974,270.6706733232558,-129.25404313268572,-2.0940983102973334,363.0,45.0,332.0,245.0,246.25
221,12,46,8988,-0.0012574055242220244,34.29067441806489,10,22,32,0.3125,439.1947717186663,-245.67492463190084,-1.7877069561605432,71.0,370.0,171.0,373.0,246.25
208,13,30,10690,0.0007258273131446508,24.43245840140589,15,28,43,0.3488372093023256,373.27730647368156,-175.30709153538487,-2.12927670640373,308.0,148.0,302.0,228.0,246.5
118,16,33,10724,0.0007540851769530021,19.91202500678524,13,23,36,0.3611111111111111,390.5675088467293,-189.24929135328742,-2.063772635838432,312.0,77.0,334.0,264.0,246.75
167,14,42,8804,-0.0013923376455707548,35.942458802145225,11,25,36,0.3055555555555556,401.32654949481736,-224.45826545275605,-1.7879784853781138,62.0,408.0,148.0,371.0,247.25
447,5,23,10350,0.0003748338177337173,27.61614976326098,20,39,59,0.3389830508474576,322.08126614686705,-156.17341775177644,-2.062330906139137,245.0,212.0,269.0,265.0,247.75
48,18,45,9125,-0.0010722064825086416,32.344355232394705,10,21,31,0.3225806451612903,434.0488517508199,-248.38225332722354,-1.7475034787569772,85.0,314.0,211.0,381.0,247.75
123,16,28,10585,0.0006188516457287388,23.993279997332166,15,28,43,0.3488372093023256,390.0330561613356,-188.02259672488086,-2.0743945831789636,289.0,142.0,302.0,260.0,248.25
336,8,47,10357,0.00046664058997769543,29.094545892404238,11,22,33,0.3333333333333333,509.02485299916094,-238.25926505383995,-2.136432565945066,257.0,248.0,266.0,224.0,248.75
31,19,33,8503,-0.001810276965139413,36.084976789818946,12,27,39,0.3076923076923077,373.7791137014387,-221.59066164350276,-1.6867999352011422,36.0,412.0,154.0,394.0,249.0
428,5,42,9719,-0.00021446314688328185,33.88195555208465,14,30,44,0.3181818181818182,410.9568769407013,-201.17870324685566,-2.042745431341398,171.0,359.0,193.0,274.0,249.25
223,12,44,9354,-0.0008233244663563546,32.88304170757085,10,21,31,0.3225806451612903,467.58748405276265,-253.45755649075792,-1.844835445140152,105.0,328.0,211.0,354.0,249.5
19,19,45,9465,-0.0007326340273760168,28.741140341633237,10,20,30,0.3333333333333333,418.88768026131277,-236.2212174649057,-1.7732855869458255,114.0,240.0,266.0,378.0,249.5
389,7,23,11048,0.0008061872761465739,20.646163742324134,19,33,52,0.36538461538461536,337.7840478212601,-162.69962802654751,-2.07612059055319,318.0,85.0,339.0,259.0,250.25
91,17,31,10170,0.00017748600850359185,24.564908576678935,14,26,40,0.35,398.1794738318618,-207.84438416602194,-1.915757673364915,223.0,151.0,303.0,325.0,250.5
363,7,49,10543,0.0006222500026108388,28.93472229737183,11,22,33,0.3333333333333333,534.6310598341119,-242.62288330085795,-2.2035475490214047,290.0,247.0,266.0,199.0,250.5
254,11,42,9000,-0.001109758628744348,34.90432298146627,10,22,32,0.3125,474.1962317256874,-261.0407418217755,-1.8165602365987872,83.0,384.0,171.0,366.0,251.0
164,14,45,9667,-0.00037564503154823156,28.863132835092358,10,20,30,0.3333333333333333,421.75089397969634,-227.5613820444549,-1.8533500288608102,148.0,244.0,266.0,346.0,251.0
186,14,23,12470,0.002400225234782166,17.940421365538032,22,35,57,0.38596491228070173,353.49172431173787,-151.59484600770512,-2.331818881848865,437.0,38.0,396.0,134.0,251.25
105,16,46,10376,0.00035471630306525625,23.190416197660536,10,18,28,0.35714285714285715,456.72338136155093,-232.82753826779228,-1.9616381496772919,243.0,129.0,326.0,307.0,251.25
206,13,32,11096,0.0010343099612133647,25.258964848669795,13,24,37,0.35135135135135137,473.32249852953044,-210.69633948256714,-2.246467592611844,352.0,166.0,308.0,181.0,251.75
214,13,24,11764,0.001766300117750634,18.629164768362042,18,29,47,0.3829787234042553,338.48188301600493,-149.2481133844219,-2.2679139812251368,403.0,51.0,389.0,169.0,253.0
26,19,38,8302,-0.002099577212722256,39.03367046029819,11,25,36,0.3055555555555556,407.07537818379586,-247.05166470742444,-1.6477337995916057,13.0,446.0,148.0,405.0,253.0
443,5,27,8466,-0.0018104552778518846,36.21497953211295,17,37,54,0.3148148148148148,319.14157216097965,-188.1000669854581,-1.6966584716083715,35.0,415.0,173.0,391.0,253.5
367,7,45,9688,-0.0002975813739948073,33.475004680376976,11,23,34,0.3235294117647059,536.5209893987848,-270.17390723657707,-1.9858356970385804,160.0,342.0,215.0,297.0,253.5
320,9,34,9648,-0.00030475142879215556,32.139978885555266,13,27,40,0.325,406.2618891529497,-208.64500480774694,-1.947144095432786,158.0,310.0,229.0,318.0,253.75
366,7,46,9980,2.48395131776874e-05,33.71494653435706,11,23,34,0.3235294117647059,567.5665079748632,-272.34050613540643,-2.0840326546675056,201.0,351.0,215.0,250.0,254.25
374,7,38,10526,0.0006054474721046896,28.24588419015649,14,27,41,0.34146341463414637,422.23370799579817,-199.41922886495158,-2.1173169227413795,285.0,226.0,274.0,233.0,254.5
159,15,21,11900,0.00189142179000438,15.61688996032979,26,43,69,0.37681159420289856,313.284967214023,-145.22616062711234,-2.157221301322041,418.0,14.0,367.0,220.0,254.75
94,17,28,10035,3.8742449406241566e-05,26.30926501171774,16,30,46,0.34782608695652173,361.22276244192176,-191.46191829056252,-1.8866559244106718,204.0,185.0,299.0,333.0,255.25
318,9,36,9781,-0.00015675383359400682,33.21332415513779,12,25,37,0.32432432432432434,466.9816788017385,-232.94109745912814,-2.004720008171487,177.0,334.0,223.0,289.0,255.75
308,9,46,9669,-0.0002819353170106788,33.61522963431149,10,21,31,0.3225806451612903,529.1303759889418,-267.76386366272135,-1.9761082348865449,162.0,349.0,211.0,302.0,256.0
253,11,43,9281,-0.000774997085394859,33.49561000038432,10,21,31,0.3225806451612903,484.5975574147824,-265.02113004419215,-1.8285242287434815,112.0,343.0,211.0,359.0,256.25
130,16,21,11806,0.0015620976403220004,17.07967915705638,26,43,69,0.37681159420289856,316.09140598902866,-149.1097217202167,-2.1198577956045646,401.0,27.0,367.0,231.0,256.5
287,10,38,9356,-0.0006875510185385504,36.03908692273029,12,26,38,0.3157894736842105,484.10225167945583,-248.22045411262076,-1.9502915398737146,116.0,410.0,185.0,316.0,256.75
82,17,40,8010,-0.002458864597138353,39.50973689100208,11,25,36,0.3055555555555556,386.00768205732226,-249.4472794183905,-1.547451962424024,3.0,449.0,148.0,428.0,257.0
154,15,26,11489,0.001509231707692513,18.579945056991196,17,28,45,0.37777777777777777,362.7199985810045,-167.02608495790062,-2.171636835482488,398.0,46.0,372.0,212.0,257.0
47,18,46,9341,-0.0008176795006750546,30.496524972767208,10,20,30,0.3333333333333333,433.7929642797625,-249.8642202084487,-1.7361147743277194,108.0,272.0,266.0,382.0,257.0
325,9,29,11119,0.001200606024274055,21.194738936519382,15,26,41,0.36585365853658536,376.38393495493597,-174.08981161013577,-2.162010122670627,376.0,90.0,344.0,218.0,257.0
322,9,32,11426,0.0015346097802416887,23.438822034868256,15,26,41,0.36585365853658536,389.2846660877901,-169.70629612183737,-2.29387285553808,399.0,134.0,344.0,154.0,257.75
110,16,41,7962,-0.0024838041862475565,39.17702143024055,12,27,39,0.3076923076923077,352.61720961635433,-232.20666487424737,-1.5185490468471947,2.0,448.0,154.0,429.0,258.25
95,17,27,10005,5.528437781046662e-06,27.170495113143264,17,32,49,0.3469387755102041,327.68696463575435,-173.92471694929242,-1.8840735830048305,198.0,204.0,297.0,335.0,258.5
192,13,46,9417,-0.0006596816179138984,34.07758501463761,10,21,31,0.3225806451612903,459.3504855622262,-246.50214043659543,-1.863474632506808,118.0,364.0,211.0,341.0,258.5
191,13,47,10117,0.0001204091242947139,27.87325060984123,11,21,32,0.34375,429.6613433044188,-219.4586918442937,-1.9578233137799992,215.0,220.0,291.0,309.0,258.75
